Age,KM,Fuel_Type,HP,Automatic,CC,Quarterly_Tax,Weight,Price
23,46986,Diesel,90,0,2000,210,1165,13500
23,72937,Diesel,90,0,2000,210,1165,13750
24,41711,Diesel,90,0,2000,210,1165,13950
26,48000,Diesel,90,0,2000,210,1165,14950
30,38500,Diesel,90,0,2000,210,1170,13750
32,61000,Diesel,90,0,2000,210,1170,12950
27,94612,Diesel,90,0,2000,210,1245,16900
30,75889,Diesel,90,0,2000,210,1245,18600
27,19700,Petrol,192,0,1800,100,1185,21500
23,71138,Diesel,69,0,1900,185,1105,12950
25,31461,Petrol,192,0,1800,100,1185,20950
22,43610,Petrol,192,0,1800,100,1185,19950
25,32189,Petrol,192,0,1800,100,1185,19600
31,23000,Petrol,192,0,1800,100,1185,21500
32,34131,Petrol,192,0,1800,100,1185,22500
28,18739,Petrol,192,0,1800,100,1185,22000
30,34000,Petrol,192,0,1800,100,1185,22750
24,21716,Petrol,110,0,1600,85,1105,17950
24,25563,Petrol,110,0,1600,19,1065,16750
30,64359,Petrol,110,0,1600,85,1105,16950
30,67660,Petrol,110,0,1600,85,1105,15950
29,43905,Petrol,110,1,1600,100,1170,16950
28,56349,Petrol,110,0,1600,85,1120,15950
28,32220,Petrol,110,0,1600,85,1120,16950
29,25813,Petrol,110,0,1600,85,1120,16250
25,28450,Petrol,110,0,1600,85,1120,15950
27,34545,Petrol,110,0,1600,85,1120,17495
29,41415,Petrol,110,0,1600,85,1120,15750
28,44142,Petrol,110,0,1600,85,1120,16950
30,11090,Petrol,110,0,1600,85,1120,17950
29,9750,Petrol,97,0,1400,19,1100,12950
22,35199,Petrol,97,0,1400,85,1100,15750
27,29510,Petrol,97,0,1400,85,1100,15950
26,32692,Petrol,97,0,1400,85,1100,14950
22,41000,Petrol,97,0,1400,85,1100,15500
26,43000,Petrol,97,0,1400,85,1100,15750
25,25000,Petrol,97,0,1400,85,1100,15950
23,10000,Petrol,97,0,1400,85,1100,14950
32,25329,Petrol,97,0,1400,85,1100,15750
27,27500,Petrol,97,0,1400,85,1100,14750
22,49059,Petrol,97,0,1400,85,1100,13950
27,44068,Petrol,97,0,1400,85,1100,16750
22,46961,Petrol,97,0,1400,85,1100,13950
27,110404,Diesel,90,0,2000,234,1255,16950
22,100250,Diesel,90,0,2000,234,1255,16950
23,84000,Diesel,90,0,2000,234,1270,19000
27,79375,Diesel,90,0,2000,234,1255,17950
22,75048,Petrol,97,0,1400,85,1110,15800
22,72215,Diesel,90,0,2000,234,1255,17950
31,64982,Petrol,192,0,1800,100,1195,21950
22,62636,Diesel,90,0,2000,234,1255,17950
30,57086,Petrol,97,0,1400,85,1110,15750
26,56000,Petrol,110,1,1600,100,1180,20500
27,49866,Petrol,192,0,1800,100,1195,21950
25,49163,Petrol,110,1,1600,100,1165,15500
32,45725,Petrol,110,0,1600,85,1075,13250
28,43210,Petrol,97,0,1400,85,1110,15250
26,43000,Petrol,97,0,1400,85,1110,15250
23,39704,Petrol,110,1,1600,100,1180,18950
30,38950,Petrol,110,0,1600,85,1130,15999
22,37400,Petrol,97,0,1400,85,1110,14950
27,37177,Petrol,110,0,1600,85,1130,16500
31,36544,Petrol,110,0,1600,85,1130,18750
30,33511,Petrol,110,0,1600,85,1130,17950
27,32809,Petrol,97,0,1400,85,1110,17950
26,32181,Petrol,110,0,1600,19,1075,16950
28,30993,Petrol,110,0,1600,85,1130,18950
22,30400,Petrol,97,0,1400,85,1110,14950
22,30000,Diesel,110,0,2000,234,1275,22250
25,29719,Petrol,97,0,1400,85,1110,15950
28,29206,Petrol,97,0,1400,85,1110,15950
32,29198,Petrol,97,0,1400,85,1060,12995
28,28817,Petrol,110,0,1598,85,1130,18950
23,28227,Petrol,97,0,1400,85,1110,15750
28,28000,Petrol,110,0,1600,85,1130,19950
23,28000,Petrol,110,0,1600,85,1115,16950
31,25266,Petrol,110,0,1600,85,1130,18750
27,23489,Petrol,110,0,1600,85,1115,18450
29,22575,Petrol,110,0,1600,85,1115,16895
30,22000,Petrol,97,0,1400,85,1110,14900
29,20000,Petrol,110,0,1600,85,1115,17250
25,17003,Petrol,97,0,1400,85,1110,15450
31,16238,Petrol,110,1,1600,100,1180,17950
25,15414,Petrol,97,0,1400,85,1110,16650
28,8537,Petrol,110,0,1600,85,1130,17450
30,7000,Petrol,97,0,1400,85,1100,14900
20,66966,Diesel,90,0,2000,210,1245,17950
19,51884,Petrol,97,0,1400,85,1100,15950
19,50005,Diesel,110,0,2000,234,1265,21950
20,48110,Petrol,97,0,1400,85,1100,16450
20,37500,Diesel,90,0,2000,234,1260,22250
16,34472,Diesel,90,0,1995,234,1260,19950
20,33329,Petrol,97,0,1400,85,1100,15950
20,31850,Petrol,110,0,1600,85,1120,18900
17,30351,Diesel,90,0,1995,234,1260,19950
19,29435,Petrol,97,0,1400,85,1100,15950
19,25948,Petrol,97,0,1400,85,1100,15950
11,24500,Petrol,110,0,1600,85,1120,18750
18,23902,Petrol,97,0,1400,85,1100,17450
20,23175,Petrol,110,0,1600,85,1120,18990
19,19200,Petrol,97,0,1400,85,1100,16250
13,18000,Petrol,71,0,1400,85,1125,18500
11,16123,Petrol,110,0,1600,85,1105,18500
11,14635,Petrol,110,1,1600,100,1155,19450
19,13748,Petrol,97,0,1400,85,1100,16950
14,11500,Petrol,110,0,1600,69,1045,18800
17,10000,Petrol,97,0,1400,85,1100,17450
20,7187,Petrol,110,0,1600,85,1105,17950
4,1,Diesel,116,0,2000,283,1480,32500
4,4000,Diesel,116,0,2000,283,1480,31000
4,1500,Diesel,116,0,2000,283,1480,31275
8,13253,Diesel,116,0,2000,234,1320,24950
8,13253,Diesel,116,0,2000,234,1320,24950
7,10000,Diesel,116,0,2000,234,1270,22950
8,6000,Diesel,90,0,2000,234,1280,24990
8,10841,Diesel,90,0,2000,234,1270,21950
7,1,Petrol,110,0,1600,85,1105,17900
20,63000,Diesel,90,0,2000,234,1255,19250
17,57313,Diesel,110,0,2000,234,1275,22250
13,57037,Petrol,110,0,1600,85,1115,18950
19,51099,Diesel,90,0,2000,234,1255,19950
14,40010,Petrol,110,0,1600,85,1115,16350
20,39115,Petrol,110,0,1600,85,1130,18950
17,36012,Petrol,110,0,1600,85,1130,16950
16,36000,Petrol,110,0,1600,85,1130,21750
20,36000,Petrol,110,0,1600,19,1075,15950
20,35000,Petrol,97,0,1400,85,1110,16500
17,33740,Petrol,97,0,1400,85,1135,17950
13,33477,Petrol,110,0,1600,19,1075,15850
20,32627,Petrol,97,0,1400,85,1110,16250
20,29797,Petrol,97,0,1400,85,1110,15950
19,29441,Petrol,97,0,1400,85,1110,16250
13,29371,Petrol,110,0,1600,19,1105,15950
20,29000,Petrol,97,0,1400,85,1110,16500
19,27821,Petrol,97,0,1400,85,1110,16500
19,27371,Petrol,97,0,1400,85,1135,18450
13,25170,Petrol,110,0,1600,19,1105,16250
11,25000,Diesel,116,0,2000,64,1320,23000
20,23000,Petrol,110,0,1600,85,1130,19900
20,22588,Petrol,97,0,1400,85,1110,16450
19,21684,Petrol,192,0,1800,19,1185,23950
13,21428,Petrol,110,0,1600,85,1130,19950
16,20629,Petrol,110,0,1600,85,1090,18500
15,20270,Petrol,110,0,1600,85,1130,18950
16,20105,Petrol,97,0,1400,85,1110,16450
20,20000,Petrol,110,1,1600,100,1165,20500
13,19988,Petrol,110,0,1600,85,1130,24500
19,18328,Petrol,110,0,1600,85,1130,19450
14,17896,Petrol,110,1,1600,85,1150,20950
20,17300,Petrol,97,0,1400,85,1110,17200
19,17038,Petrol,110,0,1600,85,1130,19950
10,13747,Petrol,97,0,1400,85,1110,18450
12,13634,Petrol,110,0,1600,85,1115,19500
13,13178,Petrol,110,0,1600,85,1130,21750
15,13157,Petrol,97,0,1400,85,1085,16868
16,13000,Petrol,110,0,1600,85,1105,19500
11,12500,Petrol,110,0,1600,85,1115,18900
17,11999,Petrol,110,0,1600,85,1130,19750
16,11754,Petrol,110,1,1600,100,1180,19750
16,11000,Petrol,110,0,1600,85,1105,18950
17,10000,Petrol,110,0,1598,85,1105,20750
9,7650,Petrol,110,0,1600,85,1115,19600
14,6500,Petrol,110,0,1600,85,1100,19500
11,6155,Petrol,97,0,1400,85,1110,17650
14,6000,Petrol,110,0,1600,85,1130,19950
14,5459,Petrol,110,0,1600,85,1130,19950
14,5278,Petrol,110,1,1600,85,1150,20950
12,5000,Petrol,110,0,1600,85,1130,20500
9,1,Petrol,98,0,1400,19,1065,17795
9,1,Petrol,110,0,1600,19,1075,18245
8,11000,Petrol,110,0,1600,85,1130,23750
8,10077,Petrol,97,0,1400,85,1110,19500
8,10000,Petrol,97,0,1400,85,1110,18950
8,9788,Petrol,110,0,1600,85,1130,21950
8,8574,Petrol,110,0,1600,85,1130,19950
8,7000,Petrol,110,0,1600,85,1115,18950
7,6250,Petrol,110,0,1600,85,1115,19950
8,5000,Petrol,110,0,1600,85,1130,21950
6,3000,Petrol,110,0,1600,85,1130,22500
7,2000,Petrol,110,0,1600,19,1075,18500
7,450,Petrol,97,0,1400,85,1110,18700
2,225,Petrol,97,0,1400,85,1110,21125
2,15,Petrol,110,0,1600,85,1130,21500
1,1,Petrol,98,0,1400,19,1100,17795
1,1,Petrol,110,0,1600,19,1075,18245
43,243000,Diesel,69,0,1900,185,1110,6950
38,180638,Diesel,90,0,2000,210,1160,9500
40,179860,Diesel,90,0,2000,210,1205,11950
43,178858,CNG,110,0,1600,197,1084,7750
40,161000,Diesel,69,0,1900,185,1105,11950
44,158320,Diesel,69,0,1800,64,1110,4350
44,131273,Diesel,69,0,1800,64,1110,4750
40,130062,Diesel,69,0,1900,185,1140,11750
41,123425,Diesel,69,0,1900,185,1140,13250
37,118217,Petrol,110,0,1600,85,1075,11950
44,110000,Diesel,69,0,1900,185,1095,11900
39,108847,Diesel,90,0,2000,210,1205,14750
42,105699,Petrol,97,0,1400,69,1025,9950
39,98823,CNG,110,0,1600,197,1119,11950
44,96829,Petrol,110,0,1600,85,1075,11495
40,96518,Petrol,97,0,1400,69,1025,11250
42,92204,Petrol,110,0,1600,85,1075,10500
35,91456,Diesel,69,0,1900,185,1110,10450
43,89968,Diesel,69,0,1900,185,1140,12950
44,89757,Petrol,110,0,1600,69,1045,11500
40,85389,Petrol,110,0,1600,85,1075,12500
43,85017,Petrol,97,0,1400,85,1060,10950
41,84312,Petrol,110,0,1600,85,1080,11450
37,82743,CNG,110,0,1600,197,1121,11950
41,81106,Diesel,69,0,1900,185,1140,13250
40,80425,Diesel,90,0,2000,210,1205,14750
34,78677,Petrol,110,1,1600,85,1105,11790
40,78425,Petrol,110,0,1600,85,1075,11450
33,78108,Diesel,90,0,2000,210,1170,13500
33,77321,Petrol,110,0,1600,85,1075,10950
33,75699,Diesel,69,0,1900,185,1105,13500
41,75697,Petrol,97,0,1400,69,1025,10950
44,74846,Petrol,97,0,1400,69,1025,10950
38,74319,Petrol,110,0,1600,85,1075,12950
43,74285,Petrol,110,0,1600,85,1075,11950
44,74172,Petrol,110,0,1600,163,1615,12450
40,73042,Petrol,110,0,1598,85,1075,11950
44,71793,CNG,110,0,1600,197,1067,14950
35,71200,Petrol,110,0,1600,85,1075,12450
